title,release_date_meta,year,rating_metacritic
dads army,2016-02-05,2016,38
pay the ghost,2015-09-25,2015,23
sliding doors,1998-04-24,1998,59
yes,2005-06-24,2005,55
tea with mussolini,1999-05-14,1999,53
holy smoke,1999-12-03,1999,57
tempest,2010-12-10,2010,43
shrink,2009-07-24,2009,40
blood and chocolate,2007-01-26,2007,33
man down,2016-12-02,2016,27
moonwalkers,2016-01-15,2016,39
battle of shaker heights,2003-08-22,2003,33
what we did on our holiday,2015-07-10,2015,54
search party,2016-05-13,2016,22
driving lessons,2006-10-13,2006,56
celestine prophecy,2006-04-21,2006,23
money pit,1986-03-26,1986,49
poms,2019-05-10,2019,36
luther,2003-09-26,2003,47
cut bank,2015-04-03,2015,44
creepshow 2,1987-05-01,1987,39
mostly unfabulous social life of ethan green,2006-06-16,2006,38
cavemen,2014-02-07,2014,19
tuesday after christmas,2011-05-27,2011,81
va savoir who knows,2001-09-29,2001,79
uncertainty,2009-11-13,2009,45
seven days in utopia,2011-09-02,2011,37
are you here,2014-08-22,2014,37
atlas shrugged iii who is john galt,2014-09-12,2014,9
adam steve,2006-03-31,2006,48
perfect sisters,2014-04-11,2014,44
riding the bullet,2004-10-15,2004,37
pet sematary ii,1992-08-28,1992,35
story of us,1999-10-15,1999,37
love after love,2018-03-30,2018,84
princesas,2006-08-23,2006,64
lila says,2005-06-24,2005,57
john rabe,2010-05-21,2010,57
jonathan,2018-11-16,2018,62
music within,2007-10-26,2007,53
song one,2015-01-23,2015,48
farmland,2014-05-01,2014,32
sex politics cocktails,2005-05-20,2005,24
white reindeer,2013-12-06,2013,69
seven five,2015-05-07,2015,69
watermarks,2005-01-21,2005,67
magician the astonishing life and work of orson welles,2014-12-10,2014,67
rock school,2005-06-03,2005,67
villains,2019-09-20,2019,63
aniara,2019-05-17,2019,61
lisa picard is famous,2001-08-22,2001,57
invincible,2002-09-20,2002,55
cheatin,2014-08-15,2014,74
framing john delorean,2019-06-07,2019,67
red knot,2014-12-05,2014,61
green butchers,2004-12-03,2004,54
bomb the system,2005-05-27,2005,52
man in the chair,2007-12-07,2007,44
man of steel,2013-06-14,2013,55
justice league,2017-11-17,2017,45
300,2007-03-09,2007,52
now you see me,2013-05-31,2013,50
teenage mutant ninja turtles,2014-08-08,2014,31
perks of being a wallflower,2012-09-21,2012,67
man from uncle,2015-08-14,2015,56
raging bull,1980-11-14,1980,89
expendables 2,2012-08-17,2012,51
in bruges,2008-02-08,2008,67
fast and the furious,2001-06-22,2001,58
jackie brown,1997-12-25,1997,64
ad astra,2019-09-20,2019,80
rocky balboa,2006-12-20,2006,63
sinister,2012-10-12,2012,53
indiana jones and the last crusade,1989-05-24,1989,65
dumb and dumber,1994-12-16,1994,41
training day,2001-10-05,2001,69
grown ups,2010-06-25,2010,30
gods of egypt,2016-02-26,2016,25
stranger than fiction,2006-11-10,2006,67
angry birds movie,2016-05-20,2016,43
ice age,2002-03-15,2002,60
pain gain,2013-04-26,2013,45
night at the museum,2006-12-22,2006,48
5th wave,2016-01-22,2016,33
taken 3,2015-01-09,2015,26
italian job,2003-05-30,2003,68
cinderella man,2005-06-03,2005,69
garden state,2004-07-28,2004,67
armageddon,1998-07-01,1998,42
lovely bones,2009-12-11,2009,42
rain man,1988-12-16,1988,65
day after tomorrow,2004-05-28,2004,47
american reunion,2012-04-06,2012,49
as good as it gets,1997-12-23,1997,67
begin again,2014-06-27,2014,62
leviathan,2014-12-25,2014,92
final destination 3,2006-02-10,2006,41
on flux,2005-12-02,2005,36
25th hour,2002-12-19,2002,67
horrible bosses 2,2014-11-26,2014,40
scary movie 3,2003-10-24,2003,49
brightburn,2019-05-24,2019,44
rent,2005-11-23,2005,53
geostorm,2017-10-20,2017,21
abduction,2011-09-23,2011,25
thirteen,2003-08-20,2003,70
how the grinch stole christmas,2000-11-17,2000,46
religulous,2008-10-03,2008,56
family,2013-09-13,2013,42
45 years,2015-12-23,2015,94
ronin,1998-09-25,1998,67
cop out,2010-02-26,2010,31
changeup,2011-08-05,2011,39
to the wonder,2013-04-12,2013,58
stir of echoes,1999-12-10,1999,67
big hit,1998-04-24,1998,31
babylon ad,2008-08-29,2008,26
loving vincent,2017-09-22,2017,62
macgruber,2010-05-21,2010,43
shes out of my league,2010-03-12,2010,46
deliver us from evil,2014-07-02,2014,40
what women want,2000-12-15,2000,47
haunted house 2,2014-04-18,2014,17
gossip,2000-04-21,2000,31
losers,2010-04-23,2010,44
hook,1991-12-11,1991,52
scooby doo 2 monsters unleashed,2004-03-26,2004,34
woman in gold,2015-04-01,2015,51
i origins,2014-07-18,2014,57
metallica through the never,2013-09-27,2013,61
anastasia,1997-11-21,1997,59
black dynamite,2009-09-04,2009,65
aqua teen hunger force colon movie film for theaters,2007-04-13,2007,54
goodbye lenin,2004-02-27,2004,68
mississippi burning,1989-01-27,1989,65
black snake moan,2007-03-02,2007,52
rv,2006-04-28,2006,33
winters tale,2014-02-14,2014,31
shark night 3d,2011-09-02,2011,22
buffalo 66,1998-06-26,1998,68
gone,2012-02-24,2012,36
harsh times,2006-11-10,2006,56
hackers,1995-09-15,1995,46
tristram shandy a cock and bull story,2006-01-27,2006,80
take me home tonight,2011-03-04,2011,42
apparition,2012-08-24,2012,18
camp xray,2014-10-17,2014,54
vhs2,2013-07-12,2013,49
felon,2008-07-18,2008,58
warriors way,2010-12-03,2010,45
pathfinder,2007-04-13,2007,29
gotti,2018-06-15,2018,24
under the same moon la misma luna,2008-03-19,2008,59
pelican brief,1993-12-17,1993,50
exorcist the beginning,2004-08-20,2004,30
pride and glory,2008-10-24,2008,45
bronze,2016-03-18,2016,44
rocky ii,1979-06-15,1979,61
dylan dog dead of night,2011-04-29,2011,31
ask the dust,2006-03-10,2006,58
anything else,2003-09-19,2003,43
women,2008-09-12,2008,27
i hope they serve beer in hell,2009-09-25,2009,26
karate kid,1984-06-22,1984,60
pearl jam twenty,2011-09-20,2011,59
notorious,1946-09-06,1946,100
kazaam,1996-04-17,1996,24
selena,1997-03-21,1997,67
bad 25,2012-10-19,2012,65
childs play,1988-11-09,1988,58
mirrormask,2005-09-30,2005,55
beverly hills cop ii,1987-05-20,1987,48
conspiracy theory,1997-08-08,1997,49
breakthrough,2019-04-17,2019,46
star,2017-11-17,2017,42
double,2011-10-28,2011,37
saints and soldiers,2004-10-15,2004,56
cemetery of splendor,2016-03-04,2016,87
let the sunshine in,2018-04-27,2018,79
destination wedding,2018-08-31,2018,46
silkwood,1983-12-14,1983,64
laws of attraction,2004-04-30,2004,38
puffy chair,2006-06-02,2006,73
dragon blade,2015-09-04,2015,41
footnote,2012-03-09,2012,82
cable guy,1996-06-14,1996,56
please stand by,2018-01-26,2018,49
perfect host,2011-07-01,2011,48
dark blue world,2001-12-28,2001,56
hot summer nights,2018-07-27,2018,44
trust the man,2006-08-18,2006,43
pretty one,2014-02-07,2014,53
pirates who dont do anything a veggietales movie,2008-01-11,2008,49
kickboxer vengeance,2016-09-02,2016,37
only living boy in new york,2017-08-11,2017,33
farthest,2017-08-11,2017,87
police adjective,2009-12-23,2009,81
brittany runs a marathon,2019-08-23,2019,74
iluzija,2006-03-17,2006,61
romance cigarettes,2007-09-07,2007,55
girls against boys,2013-02-01,2013,17
chasing coral,2017-07-14,2017,86
vitus,2007-06-29,2007,63
lonely hearts,2007-04-13,2007,60
this beautiful fantastic,2017-03-10,2017,51
where the truth lies,2005-10-14,2005,47
cherry blossoms,2009-01-16,2009,62
resurrecting the champ,2007-08-24,2007,55
2010,1984-12-07,1984,53
jennys wedding,2015-07-31,2015,33
gozu,2004-07-30,2004,58
inlaws,2003-05-23,2003,46
synchronicity,2016-01-22,2016,39
zaytoun,2013-09-20,2013,39
supercross,2005-08-17,2005,26
osama,2004-02-06,2004,83
your friends neighbors,1998-08-21,1998,70
same kind of different as me,2017-10-20,2017,47
jack brooks monster slayer,2008-08-15,2008,46
dead mans burden,2013-05-03,2013,76
hellbent,2005-09-16,2005,45
rails ties,2007-10-26,2007,44
needful things,1993-08-27,1993,43
conversations with god,2006-10-27,2006,35
invisible sign,2011-05-06,2011,23
occupation dreamland,2005-09-23,2005,66
becks,2018-02-09,2018,64
cowboy del amor,2006-02-03,2006,57
texas chainsaw massacre 2,1986-08-22,1986,42
carlitos way,1993-11-12,1993,65
higher learning,1995-01-11,1995,54
lovers,2015-03-13,2015,19
games of love and chance,2005-08-31,2005,71
francofonia,2016-04-01,2016,71
cliffords really big movie,2004-02-20,2004,49
lula the son of brazil,2012-01-13,2012,44
irreplaceable you,2018-02-16,2018,34
gregory crewdson brief encounters,2012-11-02,2012,87
camille claudel 1915,2013-10-16,2013,65
flowers,2015-10-30,2015,63
aka tommy chong,2006-06-14,2006,60
descent,2007-08-10,2007,45
permission,2018-02-09,2018,62
finding steve mcqueen,2019-03-15,2019,56
hit so hard,2012-04-13,2012,52
particles of truth,2004-09-17,2004,48
fun mom dinner,2017-08-04,2017,46
peter and vandy,2009-10-09,2009,44
shall we kiss,2009-03-27,2009,70
peggy guggenheim art addict,2015-11-06,2015,68
burning sands,2017-03-10,2017,63
year of the fish,2008-08-29,2008,53
muppets from space,1999-07-14,1999,53
kickass,2010-04-16,2010,66
pirates of the caribbean dead mans chest,2006-07-07,2006,53
green lantern,2011-06-17,2011,39
x2 xmen united,2003-05-02,2003,68
requiem for a dream,2000-10-06,2000,68
1408,2007-06-22,2007,64
john carter,2012-03-09,2012,51
mission impossible ii,2000-05-24,2000,59
illusionist,2006-08-18,2006,68
horrible bosses,2011-07-08,2011,57
expendables,2010-08-13,2010,45
braveheart,1995-05-24,1995,68
meet the spartans,2008-01-25,2008,9
tinker tailor soldier spy,2011-12-09,2011,85
godfather part iii,1990-12-25,1990,60
book of eli,2010-01-15,2010,53
moulin rouge,2001-05-18,2001,66
passion of the christ,2004-02-25,2004,47
trainwreck,2015-07-17,2015,75
maze runner the scorch trials,2015-09-18,2015,43
knowing,2009-03-20,2009,41
saw iii,2006-10-27,2006,48
dumb and dumber to,2014-11-14,2014,36
fracture,2007-04-20,2007,68
fast and the furious tokyo drift,2006-06-16,2006,45
ice age dawn of the dinosaurs,2009-07-01,2009,50
dirty grandpa,2016-01-22,2016,21
shark tale,2004-10-01,2004,48
red 2,2013-07-19,2013,47
theres something about mary,1998-07-15,1998,69
box,2009-11-06,2009,47
proposal,2009-06-19,2009,48
watch,2012-07-27,2012,36
waterworld,1995-07-28,1995,56
rush hour 3,2007-08-10,2007,44
book thief,2013-11-08,2013,53
boot,1982-02-10,1982,86
perfume the story of a murderer,2006-12-29,2006,56
sky high,2005-07-29,2005,62
boy in the striped pajamas,2008-11-07,2008,55
why him,2016-12-23,2016,39
bedtime stories,2008-12-25,2008,33
fatal attraction,1987-09-18,1987,67
little nicky,2000-11-10,2000,38
shallow grave,1995-02-10,1995,67
annie,2014-12-19,2014,33
mute,2018-02-23,2018,35
shaolin soccer,2003-08-15,2003,68
dear john,2010-02-05,2010,43
enemy at the gates,2001-03-16,2001,53
last house on the left,2009-03-13,2009,42
bounty hunter,2010-03-19,2010,22
johnny english,2003-07-18,2003,51
whatever works,2009-06-19,2009,45
runner runner,2013-10-04,2013,36
shes the man,2006-03-17,2006,45
deuce bigalow male gigolo,1999-12-10,1999,30
confessions of a dangerous mind,2002-12-31,2002,67
elizabeth the golden age,2007-10-12,2007,45
murder mystery,2019-06-14,2019,38
cowboy bebop the movie knockin on heavens door,2003-04-04,2003,61
edge of democracy,2019-06-19,2019,81
hobo with a shotgun,2011-05-06,2011,55
frozen,2010-02-05,2010,43
timbuktu,2015-01-28,2015,92
garfield a tail of two kitties,2006-06-16,2006,37
beerfest,2006-08-25,2006,46
final girls,2015-10-09,2015,59
just friends,2005-11-23,2005,47
game plan,2007-09-28,2007,44
santa clause,1994-11-11,1994,57
chips,2017-03-24,2017,28
whats your number,2011-09-30,2011,35
alpha and omega,2010-09-17,2010,36
cats dogs the revenge of kitty galore,2010-07-30,2010,30
honey i shrunk the kids,1989-06-23,1989,63
big mommas house 2,2006-01-27,2006,34
tequila sunrise,1988-12-02,1988,62
pieces of april,2003-10-17,2003,70
lost in space,1998-04-03,1998,42
suspect zero,2004-08-27,2004,37
what lies beneath,2000-07-21,2000,51
welcome to marwen,2018-12-21,2018,40
things to come,2016-12-02,2016,88
perfect stranger,2007-04-13,2007,31
rumble fish,1983-10-08,1983,63
saved,2004-05-28,2004,62
stick it,2006-04-28,2006,53
two night stand,2014-09-26,2014,45
choice,2016-02-05,2016,26
we are what we are,2013-09-27,2013,71
fistful of dollars,1967-01-18,1967,65
glimpse inside the mind of charles swan iii,2013-02-08,2013,28
jungle,2017-10-20,2017,48
dangerous minds,1995-08-11,1995,47
joyful noise,2012-01-13,2012,44
atm,2012-04-06,2012,34
love the coopers,2015-11-13,2015,31
incarnate,2016-12-02,2016,30
support the girls,2018-08-24,2018,85
racing stripes,2005-01-14,2005,43
dressmaker,2016-09-23,2016,47
antwone fisher,2002-12-19,2002,62
you kill me,2007-06-22,2007,64
table 19,2017-03-03,2017,40
firehouse dog,2007-04-04,2007,43
last night,2011-05-06,2011,50
van wilder 2 the rise of taj,2006-12-01,2006,21
dogman,2019-04-12,2019,71
shall we dance,2004-10-15,2004,47
romeo juliet,2013-10-11,2013,41
jimi all is by my side,2014-09-26,2014,66
robin hood,1973-11-08,1973,57
wheres the party yaar,2003-09-05,2003,56
grumpy old men,1993-12-25,1993,53
bamboozled,2000-10-06,2000,50
inequality for all,2013-09-27,2013,68
flash of genius,2008-10-03,2008,57
jauja,2015-03-20,2015,77
rewrite,2015-02-13,2015,51
wyatt earp,1994-06-24,1994,47
transit,2019-03-01,2019,82
clearing,2004-07-02,2004,60
whered you go bernadette,2019-08-16,2019,51
newsies,1992-04-10,1992,46
hollywood ending,2002-05-03,2002,46
9th life of louis drax,2016-09-02,2016,41
loneliest planet,2012-10-26,2012,76
hail satan,2019-04-17,2019,76
womb,2012-03-30,2012,48
new york minute,2004-05-07,2004,33
my perestroika,2011-03-23,2011,90
my golden days,2016-03-18,2016,87
fire at sea,2016-10-21,2016,87
blaze,2018-08-17,2018,75
ladies in lavender,2005-04-29,2005,61
high crimes,2002-04-05,2002,48
my voyage to italy,2001-10-19,2001,90
about cherry,2012-09-21,2012,33
i called him morgan,2017-03-24,2017,90
little voice,1998-12-04,1998,68
forks over knives,2011-05-06,2011,57
big kahuna,2000-04-28,2000,56
better living through chemistry,2014-03-14,2014,40
night is short walk on girl,2018-08-21,2018,65
ping pong playa,2008-09-05,2008,55
st trinians,2009-08-28,2009,39
legend,1986-04-18,1986,30
pain and glory,2019-10-04,2019,88
manufactured landscapes,2007-06-20,2007,79
train of life,1999-11-05,1999,62
cocaine cowboys,2006-10-27,2006,59
forsaken,2016-02-19,2016,55
newness,2017-11-03,2017,50
time out,2002-03-29,2002,88
warriors of the rainbow seediq bale,2012-04-27,2012,62
winter passing,2006-02-17,2006,56
shaolin,2011-09-09,2011,53
in the tall grass,2019-10-04,2019,46
boomerang,1992-07-01,1992,45
together,2003-05-30,2003,60
delicacy,2012-03-16,2012,53
promotion,2008-06-06,2008,51
loving pablo,2018-10-05,2018,42
captain pantoja and the special services,2002-09-27,2002,51
edge of winter,2016-08-12,2016,50
girl without hands,2017-07-21,2017,82
claires camera,2018-03-09,2018,80
pale rider,1985-06-28,1985,61
happenstance,2001-11-02,2001,59
midsummer nights dream,2018-07-13,2018,67
altered states,1980-12-25,1980,58
love object,2004-02-13,2004,45
ma ma,2016-05-20,2016,31
dragonslayer,2011-11-04,2011,71
next stop wonderland,1998-08-21,1998,71
muppet treasure island,1996-02-16,1996,64
swimming upstream,2005-02-04,2005,58
maybe baby,2001-08-24,2001,46
stoned,2006-03-24,2006,41
ignorant fairies,2002-09-20,2002,69
running on empty,1988-09-09,1988,67
favela rising,2006-06-02,2006,65
difret,2015-10-23,2015,61
benji off the leash,2004-08-20,2004,49
king of thieves,2019-01-25,2019,47
krystal,2018-04-13,2018,39
7 minutes,2015-06-26,2015,35
hijacking catastrophe 911 fear the selling of american empire,2004-09-10,2004,54
brubaker,1980-06-20,1980,54
big bad love,2002-02-22,2002,49
no stranger than love,2016-06-17,2016,29
stratton,2018-01-05,2018,26
gravity,2013-10-04,2013,96
avengers infinity war,2018-04-27,2018,68
transformers revenge of the fallen,2009-06-24,2009,35
kill bill vol 1,2003-10-10,2003,69
great gatsby,2013-05-10,2013,55
lady bird,2017-11-03,2017,94
pirates of the caribbean on stranger tides,2011-05-20,2011,45
knocked up,2007-06-01,2007,85
good will hunting,1997-12-05,1997,70
resident evil afterlife,2010-09-10,2010,37
transcendence,2014-04-17,2014,42
mamma mia,2008-07-18,2008,51
hard 2,1990-07-02,1990,67
4 months 3 weeks and 2 days,2008-01-23,2008,97
kingdom of heaven,2005-05-06,2005,63
disturbia,2007-04-11,2007,62
liar liar,1997-03-21,1997,70
life is beautiful,1998-10-23,1998,59
florida project,2017-10-06,2017,92
fast furious,2009-04-03,2009,46
hitmans bodyguard,2017-08-18,2017,47
knight and day,2010-06-23,2010,46
neon demon,2016-06-24,2016,51
final destination,2009-08-28,2009,30
date movie,2006-02-17,2006,11
thats my boy,2012-06-15,2012,31
mortal engines,2018-12-14,2018,44
scary movie 4,2006-04-14,2006,40
machete kills,2013-10-11,2013,41
broken flowers,2005-08-05,2005,79
bridget joness diary,2001-04-13,2001,66
lethal weapon,1987-03-06,1987,68
cat in the hat,2003-11-21,2003,19
contact,1997-07-11,1997,62
enemy of the state,1998-11-16,1998,67
land of the lost,2009-06-05,2009,32
johnny english reborn,2011-10-21,2011,46
mudbound,2017-11-17,2017,85
raising arizona,1987-03-13,1987,68
eddie the eagle,2016-02-26,2016,54
son of saul,2015-12-18,2015,91
astronauts wife,1999-08-27,1999,37
halloween h20 20 years later,1998-08-05,1998,52
parker,2013-01-25,2013,42
what happened to monday,2017-08-18,2017,47
dogs purpose,2017-01-27,2017,43
duplicity,2009-03-20,2009,69
nine lives,2016-08-05,2016,11
raven,2012-04-27,2012,44
free state of jones,2016-06-24,2016,53
snowman,2017-10-20,2017,23
that awkward moment,2014-01-31,2014,36
love friendship,2016-05-13,2016,87
rocky,1976-12-03,1976,70
next,2007-04-27,2007,42
class,2008-12-19,2008,92
fan,1996-08-16,1996,32
unicorn store,2019-04-05,2019,44
pitch perfect 3,2017-12-22,2017,40
scoop,2006-07-28,2006,48
burnt,2015-10-30,2015,42
street kings,2008-04-11,2008,55
room 237,2013-03-29,2013,80
good year,2006-11-10,2006,47
november man,2014-08-27,2014,38
delivery man,2013-11-22,2013,44
southland tales,2007-11-14,2007,44
soul surfer,2011-04-08,2011,53
smart people,2008-04-11,2008,57
risen,2016-02-19,2016,51
how high,2001-12-21,2001,29
book of shadows blair witch 2,2000-10-27,2000,15
dinosaur,2000-05-19,2000,56
escape from planet earth,2013-02-15,2013,35
alex cross,2012-10-19,2012,30
dead zone,1983-10-21,1983,69
dr t and the women,2000-10-13,2000,64
roommate,2011-02-04,2011,23
hoop dreams,1994-10-14,1994,98
darkest minds,2018-08-03,2018,39
no good deed,2014-09-12,2014,26
wendy and lucy,2008-12-10,2008,80
hunter killer,2018-10-26,2018,43
solomon kane,2012-09-28,2012,48
all the kings men,2006-09-22,2006,37
run fatboy run,2008-03-28,2008,48
tears of the sun,2003-03-07,2003,48
zoom,2006-08-11,2006,26
trip,2011-06-10,2011,82
cave of forgotten dreams,2011-04-29,2011,86
goods live hard sell hard,2009-08-14,2009,39
game over man,2018-03-23,2018,32
goal the dream begins,2006-05-12,2006,53
brown bunny,2004-08-27,2004,51
sinbad legend of the seven seas,2003-07-02,2003,48
slums of beverly hills,1998-08-14,1998,69
all dogs go to heaven,1989-11-17,1989,50
southside with you,2016-08-26,2016,74
femme nikita,1991-03-08,1991,56
factory girl,2006-12-29,2006,45
after the dark,2014-02-07,2014,37
september dawn,2007-08-24,2007,25
kill me three times,2015-04-10,2015,30
margaret,2011-09-30,2011,61
